timestamp_ny,script_timestamp_my,currency,ctousd,bid_price,ask_price,high_price,low_price,unit_ounce,unit_gram,unit_kilo,unit_pennyweight,unit_tola,unit_tael
2025-12-10 11:02:02,2025-12-11 00:02:02,EUR,0.85905,3602.00,3603.71,3624.93,3596.93,3602.00,115.81,115808.66,180.10,1350.75,4377.43
2025-12-10 13:02:03,2025-12-11 02:02:03,EUR,0.85795,3602.45,3604.16,3620.29,3592.32,3602.45,115.82,115823.11,180.13,1350.92,4377.97
2025-12-10 21:02:02,2025-12-11 10:02:02,EUR,0.85475,3622.17,3623.88,3631.58,3609.87,3622.17,116.46,116457.39,181.11,1358.32,4401.95
2025-12-10 22:02:03,2025-12-11 11:02:03,EUR,0.8551500000000001,3610.70,3612.41,3633.28,3608.48,3610.70,116.09,116088.48,180.54,1354.01,4388.01
2025-12-10 23:02:03,2025-12-11 12:02:03,EUR,0.85555,3605.63,3607.34,3634.98,3601.18,3605.63,115.93,115925.47,180.28,1352.11,4381.84
2025-12-11 00:02:03,2025-12-11 13:02:03,EUR,0.85555,3604.00,3605.72,3634.98,3599.98,3604.00,115.87,115873.21,180.20,1351.50,4379.87
2025-12-11 01:02:03,2025-12-11 14:02:03,EUR,0.85585,3599.62,3601.33,3636.25,3598.68,3599.62,115.73,115732.23,179.99,1349.86,4374.54
2025-12-11 02:02:03,2025-12-11 15:02:03,EUR,0.85575,3604.68,3606.39,3635.83,3597.32,3604.68,115.89,115894.80,180.24,1351.75,4380.69
